Nâng cấp bắt đầu: 18:07:53_28-12-2022
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/config.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/data.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/data_by_lang.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/default.htaccess.txt | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/index.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/ini.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/template.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/tpl/step1.tpl | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/tpl/step2.tpl | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/tpl/step3.tpl | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/tpl/step4.tpl | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/tpl/step5.tpl | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/tpl/step6.tpl | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/tpl/step7.tpl | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/tpl/step8.tpl | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/tpl/theme.tpl | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/tpl/updatetheme.tpl | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file install/update.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/action_mysql.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/admin/add_banner.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/admin/edit_banner.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/admin/info_plan.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/admin/main.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/admin/show_list_stat.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/admin.functions.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/admin.menu.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/funcs/addads.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/funcs/click.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/funcs/viewmap.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/language/admin_en.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/language/admin_fr.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/language/admin_vi.php | SUCCESS
